,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
80,Crofton Park,51.462680000000034,-0.035579999999924894,Mouse Tail Coffee Stories,51.478694660424985,-0.02661676637355488,Coffee Shop
81,Crofton Park,51.462680000000034,-0.035579999999924894,Beirut Canteen,51.475707,-0.038012,Lebanese Restaurant
82,Crofton Park,51.462680000000034,-0.035579999999924894,Corte,51.45977605027753,-0.01155377601146681,Coffee Shop
83,Crofton Park,51.462680000000034,-0.035579999999924894,Gennaro Delicatessan,51.4617645065367,-0.009725767238995344,Deli / Bodega
84,Crofton Park,51.462680000000034,-0.035579999999924894,Levante restaurant,51.46207211451613,-0.009490926926344812,Restaurant
85,Crofton Park,51.462680000000034,-0.035579999999924894,Two Spoons,51.44955603440787,-0.044549082967276235,Café
86,Crofton Park,51.462680000000034,-0.035579999999924894,Staycity Aparthotels Deptford Bridge Station,51.47425942693647,-0.023101651491559905,Hotel
87,Crofton Park,51.462680000000034,-0.035579999999924894,Le Délice,51.45660987533701,-0.019732131527737135,Bakery
88,Crofton Park,51.462680000000034,-0.035579999999924894,Job Centre,51.47838189917437,-0.026015846000140102,Pub
89,Crofton Park,51.462680000000034,-0.035579999999924894,The Fox and Firkin,51.456779637926374,-0.014161376650585186,Pub
90,Crofton Park,51.462680000000034,-0.035579999999924894,Gin & Beer,51.478729,-0.025872,Cocktail Bar
91,Crofton Park,51.462680000000034,-0.035579999999924894,Aldi,51.44867471080653,-0.01778093785767165,Supermarket
92,Crofton Park,51.462680000000034,-0.035579999999924894,Guildford Arms,51.47440596985897,-0.014960813781301222,Pub
93,Crofton Park,51.462680000000034,-0.035579999999924894,Out of the Brew,51.47560388551891,-0.03742159781394549,Café
94,Crofton Park,51.462680000000034,-0.035579999999924894,OneSE8 Gym,51.47286594168999,-0.021289135038009,Gym / Fitness Center
95,Crofton Park,51.462680000000034,-0.035579999999924894,Blackbird Bakery,51.473496186872644,-0.05741762209488616,Bakery
96,Crofton Park,51.462680000000034,-0.035579999999924894,Villages Brewery,51.47845648785409,-0.02386105899996787,Brewery
97,Crofton Park,51.462680000000034,-0.035579999999924894,The Brockley Jack,51.45340307266551,-0.03841512130302035,Pub
98,Crofton Park,51.462680000000034,-0.035579999999924894,The Sausage Man,51.46250733182629,-0.01024845973388549,Food Truck
99,Crofton Park,51.462680000000034,-0.035579999999924894,PureGym,51.47618100149278,-0.018383878057205573,Gym / Fitness Center
100,Denmark Hill,51.47480000000007,-0.09312999999997373,Theo's Pizzeria,51.47370071650358,-0.09053022232867393,Pizza Place
101,Denmark Hill,51.47480000000007,-0.09312999999997373,Stormbird,51.47397712784008,-0.09048547968348739,Beer Bar
102,Denmark Hill,51.47480000000007,-0.09312999999997373,Camberwell Arms,51.47368543203864,-0.0883971076275327,Gastropub
103,Denmark Hill,51.47480000000007,-0.09312999999997373,Zeret Kitchen,51.47862558552337,-0.09437835211676653,Ethiopian Restaurant
104,Denmark Hill,51.47480000000007,-0.09312999999997373,Mono,51.471924,-0.092815496,Coffee Shop
105,Denmark Hill,51.47480000000007,-0.09312999999997373,Silk Road,51.4738195178106,-0.0892841684333542,Xinjiang Restaurant
106,Denmark Hill,51.47480000000007,-0.09312999999997373,Maloko,51.473661275116726,-0.08860923813454039,Café
107,Denmark Hill,51.47480000000007,-0.09312999999997373,The Crooked Well,51.47300427928027,-0.08974193866496116,Gastropub
108,Denmark Hill,51.47480000000007,-0.09312999999997373,Daily Goods London,51.47391198191105,-0.09004631254287411,Café
109,Denmark Hill,51.47480000000007,-0.09312999999997373,Love Walk Cafe,51.47086901877433,-0.09286352926981543,Café
110,Denmark Hill,51.47480000000007,-0.09312999999997373,The Sun of Camberwell,51.470179501943925,-0.09484102850794211,Bar
111,Denmark Hill,51.47480000000007,-0.09312999999997373,Fowlds Cafe,51.480900516566564,-0.09355078908735368,Coffee Shop
112,Denmark Hill,51.47480000000007,-0.09312999999997373,Lumberjack,51.473588653225086,-0.08816419756958417,Coffee Shop
113,Denmark Hill,51.47480000000007,-0.09312999999997373,FM Mangal,51.47381963065321,-0.08940421137211664,Turkish Restaurant
114,Denmark Hill,51.47480000000007,-0.09312999999997373,Caravaggio,51.473932213286865,-0.08938251483507732,Italian Restaurant
115,Denmark Hill,51.47480000000007,-0.09312999999997373,Cycle PS,51.473885541112246,-0.0895535945892334,Bike Shop
116,Denmark Hill,51.47480000000007,-0.09312999999997373,Falafel And Shawarma,51.474045,-0.09030763,Middle Eastern Restaurant
117,Denmark Hill,51.47480000000007,-0.09312999999997373,The Tiger,51.47383699768277,-0.09287100968696926,Pub
118,Denmark Hill,51.47480000000007,-0.09312999999997373,Myatt's Fields Park,51.47388805713325,-0.10303371800784801,Park
119,Denmark Hill,51.47480000000007,-0.09312999999997373,TFC - Turkish Food Centre,51.47501896728962,-0.09545372575571873,Grocery Store
120,Denmark Hill,51.47480000000007,-0.09312999999997373,Café at the ORTUS,51.469585887830924,-0.08756097835080202,Café
121,Denmark Hill,51.47480000000007,-0.09312999999997373,South London Gallery,51.47405194475679,-0.07957074872909771,Art Gallery
122,Denmark Hill,51.47480000000007,-0.09312999999997373,Nandine,51.473923,-0.089614615,Middle Eastern Restaurant
123,Denmark Hill,51.47480000000007,-0.09312999999997373,Burgess Park,51.48242521151098,-0.08578777313232422,Park
124,Denmark Hill,51.47480000000007,-0.09312999999997373,The Pigeon Hole,51.4738957497092,-0.08886457764689845,Coffee Shop
125,Denmark Hill,51.47480000000007,-0.09312999999997373,Sophocles,51.47395987398376,-0.09082148386475365,Bakery
126,Denmark Hill,51.47480000000007,-0.09312999999997373,Ruskin Park,51.464568928745656,-0.09458541870117188,Park
127,Denmark Hill,51.47480000000007,-0.09312999999997373,Falafel,51.47392975819542,-0.09026450525384527,Falafel Restaurant
128,Denmark Hill,51.47480000000007,-0.09312999999997373,Peckham Pelican,51.47426984704418,-0.07715952180623098,Bar
129,Denmark Hill,51.47480000000007,-0.09312999999997373,Vineyard Greek Taverna,51.47360011480466,-0.08885790103116477,Greek Restaurant
130,Denmark Hill,51.47480000000007,-0.09312999999997373,Van Hing,51.473897684667335,-0.0898788283391851,Vietnamese Restaurant
131,Denmark Hill,51.47480000000007,-0.09312999999997373,The Pigeon,51.473896,-0.08965518,Beer Bar
132,Denmark Hill,51.47480000000007,-0.09312999999997373,Nando's,51.47178409795933,-0.0932268780619469,Portuguese Restaurant
133,Denmark Hill,51.47480000000007,-0.09312999999997373,Arments Pie & Mash,51.48429400008485,-0.09308644722929897,Pie Shop
134,Denmark Hill,51.47480000000007,-0.09312999999997373,Brunswick Park,51.4738449599499,-0.08764045545439086,Park
135,Denmark Hill,51.47480000000007,-0.09312999999997373,Crown & Anchor,51.47143321217957,-0.11272407965671595,Pub
136,Denmark Hill,51.47480000000007,-0.09312999999997373,Cable Bar & Cafe,51.480743,-0.111164,Café
137,Denmark Hill,51.47480000000007,-0.09312999999997373,Ganapati,51.469633991195614,-0.07292398157248463,Indian Restaurant
138,Denmark Hill,51.47480000000007,-0.09312999999997373,The Kennington,51.480168242302305,-0.1078845006415781,Pub
139,Denmark Hill,51.47480000000007,-0.09312999999997373,Blue Turtle Oasis,51.46596155765217,-0.10231534569003486,Café
140,Denmark Hill,51.47480000000007,-0.09312999999997373,Persepolis,51.47345210865369,-0.07168163023405306,Grocery Store
141,Denmark Hill,51.47480000000007,-0.09312999999997373,Adulis,51.47948554211717,-0.11170238206648013,African Restaurant
142,Denmark Hill,51.47480000000007,-0.09312999999997373,The Best Kebab,51.48692634161355,-0.09510690660086948,Falafel Restaurant
143,Denmark Hill,51.47480000000007,-0.09312999999997373,Artusi,51.46672969666967,-0.07284656623155056,Italian Restaurant
144,Denmark Hill,51.47480000000007,-0.09312999999997373,Bayroot,51.484211860217485,-0.09391648016605414,Middle Eastern Restaurant
145,Denmark Hill,51.47480000000007,-0.09312999999997373,Joiner's Arms,51.472399226127095,-0.09307387914063497,Pub
146,Denmark Hill,51.47480000000007,-0.09312999999997373,Camberwell Green,51.47343704143043,-0.09318092195337288,Park
147,Denmark Hill,51.47480000000007,-0.09312999999997373,Louie Louie,51.48600790672163,-0.09420237224963968,Café
148,Denmark Hill,51.47480000000007,-0.09312999999997373,Brick Brewery,51.46965180524746,-0.06953175125428095,Brewery
